Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AT37-03,CE09,"CE09OSSM-00004, CE09OSPM-00005 and CE09OSSM-00003",46.84350,-124.96900,2016-09-20T04:07:08.000Z,1,*0000000000000100,558,at3703001,*0000000000000100,1,*0000000000000100,2016-09-20T04:25:45.000Z,562.05,*0000000000000100,556.63,46.84240,-124.96892,5.1784,*0000000000000100,5.1783,*0000000000000100,3.3084,*0000000000000100,3.3086,*0000000000000100,34.0969,34.0984,0.66,*0000000010000100,7.09,-0.03,*0000000010000100,0.1934,95.28,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.007,0.035,1.145,*0000000000000100,*0000000000000100,2.08,51.54,21.90,0.00,0.06,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT37-03,CE09,"CE09OSSM-00004, CE09OSPM-00005 and CE09OSSM-00003",46.84350,-124.96900,2016-09-20T04:07:08.000Z,1,*0000000000000100,558,at3703001,*0000000000000100,2,*0000000000000100,2016-09-20T04:25:53.000Z,562.26,*0000000000000100,556.84,46.84238,-124.96892,5.1757,*0000000000000100,5.1756,*0000000000000100,3.3082,*0000000010000100,3.3084,*0000000010000100,34.0971,34.0987,0.66,*0000000010000100,7.09,-0.01,*0000000010000100,0.1938,95.27,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.011,0.029,1.245,*0000000000000100,*0000000000000100,2.04,39.06,20.16,0.03,0.45,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2336.24,*0000000000000101,*0000000000000100,968.60,23.4,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2367.63,-9999999,-9999999,7.671,50.43,2232.03,53.78,1.116,0.723
AT37-03,CE09,"CE09OSSM-00004, CE09OSPM-00005 and CE09OSSM-00003",46.84350,-124.96900,2016-09-20T04:07:08.000Z,1,*0000000000000100,558,at3703001,*0000000000000100,3,*0000000000000100,2016-09-20T04:44:56.000Z,8.96,*0000000000000100,8.88,46.84130,-124.96894,16.0132,*0000000000000100,16.0064,*0000000000000100,4.0602,*0000000000000100,4.0597,*0000000000000100,32.0579,32.0591,5.54,*0000000010000100,5.68,0.53,*0000000010000100,0.2720,93.43,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.285,0.020,1.847,*0000000000000100,*0000000000000100,0.38,0.95,0.02,0.01,0.01,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT37-03,CE09,"CE09OSSM-00004, CE09OSPM-00005 and CE09OSSM-00003",46.84350,-124.96900,2016-09-20T04:07:08.000Z,1,*0000000000000100,558,at3703001,*0000000000000100,4,*0000000000000100,2016-09-20T04:45:03.000Z,8.64,*0000000000000100,8.57,46.84128,-124.96894,16.0108,*0000000000000100,16.0037,*0000000000000100,4.0600,*0000000010000100,4.0595,*0000000010000100,32.0581,32.0594,5.54,*0000000010000100,5.68,0.58,*0000000010000100,0.2729,93.40,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.310,0.020,1.853,*0000000000000100,*0000000000000100,0.38,0.95,0.01,0.03,0.01,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1987.45,*0000000000000101,*0000000000000100,290.86,23.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2249.02,-9999999,-9999999,8.161,10.75,1792.07,184.63,4.368,2.868
AT37-03,CE09,"CE09OSSM-00004, CE09OSPM-00005 and CE09OSSM-00003",46.84350,-124.96900,2016-09-20T04:07:08.000Z,1,*0000000000000100,558,at3703001,*0000000000000100,6,*0000000000000100,2016-09-20T04:46:26.000Z,2.04,*0000000000000100,2.03,46.84123,-124.96895,16.0279,*0000000000000100,16.0271,*0000000000000100,4.0614,*0000000000000100,4.0614,*0000000000000100,32.0590,32.0596,5.53,*0000000010000100,5.68,0.51,*0000000010000100,0.2708,93.45,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.279,0.052,1.764,*0000000000000100,*0000000000000100,0.36,1.22,0.12,0.00,0.46,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT37-03,CE09,"CE09OSSM-00004, CE09OSPM-00005 and CE09OSSM-00003",46.84350,-124.96900,2016-09-20T04:07:08.000Z,1,*0000000000000100,558,at3703001,*0000000000000100,7,*0000000000000100,2016-09-20T04:46:29.000Z,1.86,*0000000000000100,1.84,46.84122,-124.96894,16.0275,*0000000000000100,16.0267,*0000000000000100,4.0614,*0000000010000100,4.0614,*0000000010000100,32.0589,32.0596,5.52,*0000000010000100,5.68,0.52,*0000000010000100,0.2756,93.34,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.281,0.026,1.830,*0000000000000100,*0000000000000100,0.36,1.97,0.48,0.02,0.22,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1986.79,*0000000000000101,*0000000000000100,303.77,23.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2238.59,-9999999,-9999999,8.144,11.22,1797.52,178.06,4.217,2.769
AT37-03,CE07,CE07SHSM-00004 and CE07SHSM-00003,46.97583,-124.56983,2016-09-21T01:53:02.000Z,3,*0000000000000100,89,at3703003,*0000000000000100,1,*0000000000000100,2016-09-21T01:57:55.000Z,84.21,*0000000000000100,84.50,46.97460,-124.56990,7.5882,*0000000000000100,7.5877,*0000000000000100,3.4812,*0000000010000100,3.4812,*0000000010000100,33.8566,33.8580,1.71,*0000000010000100,6.71,0.08,*0000000010000100,0.6602,84.78,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.214,0.563,1.250,*0000000000000100,*0000000000000100,2.54,49.34,30.38,0.26,1.56,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2283.31,*0000000000000101,*0000000000000100,1048.95,23.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2314.05,-9999999,-9999999,7.657,50.26,2179.43,53.63,1.226,0.794
AT37-03,CE07,CE07SHSM-00004 and CE07SHSM-00003,46.97583,-124.56983,2016-09-21T01:53:02.000Z,3,*0000000000000100,89,at3703003,*0000000000000100,2,*0000000000000100,2016-09-21T01:58:07.000Z,84.33,*0000000000000100,83.61,46.97455,-124.56991,7.5865,*0000000000000100,7.5868,*0000000000000100,3.4811,*0000000000000100,3.4812,*0000000000000100,33.8570,33.8580,1.71,*0000000010000100,6.71,0.07,*0000000010000100,0.6497,85.01,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.224,0.581,1.252,*0000000000000100,*0000000000000100,2.61,50.06,30.30,0.25,0.60,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT37-03,CE07,CE07SHSM-00004 and CE07SHSM-00003,46.97583,-124.56983,2016-09-21T01:53:02.000Z,3,*0000000000000100,89,at3703003,*0000000000000100,4,*0000000000000100,2016-09-21T02:04:05.000Z,8.15,*0000000000000100,8.09,46.97368,-124.57006,15.9541,*0000000000000100,15.9546,*0000000000000100,3.9933,*0000000010000100,3.9935,*0000000010000100,31.5165,31.5179,6.25,*0000000010000100,5.71,1.98,*0000000010000100,0.4687,88.94,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,2.507,0.141,1.859,*0000000000000100,*0000000000000100,0.35,1.42,0.04,0.02,0.06,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1935.89,*0000000000000101,*0000000000000100,279.18,22.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2192.46,-9999999,-9999999,8.168,10.36,1745.34,180.19,4.285,2.813
AT37-03,CE07,CE07SHSM-00004 and CE07SHSM-00003,46.97583,-124.56983,2016-09-21T01:53:02.000Z,3,*0000000000000100,89,at3703003,*0000000000000100,5,*0000000000000100,2016-09-21T02:04:13.000Z,8.14,*0000000000000100,8.07,46.97366,-124.57006,15.9521,*0000000000000100,15.9508,*0000000000000100,3.9936,*0000000000000100,3.9936,*0000000000000100,31.5207,31.5220,6.25,*0000000010000100,5.71,2.03,*0000000010000100,0.4740,88.83,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,2.283,0.125,1.860,*0000000000000100,*0000000000000100,0.30,1.61,0.04,0.02,1.81,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT37-03,CE07,CE07SHSM-00004 and CE07SHSM-00003,46.97583,-124.56983,2016-09-21T01:53:02.000Z,3,*0000000000000100,89,at3703003,*0000000000000100,7,*0000000000000100,2016-09-21T02:05:40.000Z,2.11,*0000000000000100,2.09,46.97334,-124.57007,15.9903,*0000000000000100,15.9890,*0000000000000100,3.9931,*0000000010000100,3.9930,*0000000010000100,31.4881,31.4889,6.28,*0000000010000100,5.70,2.14,*0000000010000100,0.4973,88.31,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,2.507,0.196,1.841,*0000000000000100,*0000000000000100,0.33,1.41,0.04,0.02,0.28,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1948.84,*0000000000000101,*0000000000000100,308.26,22.7,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2186.35,-9999999,-9999999,8.131,11.43,1769.48,167.92,3.999,2.625
AT37-03,CE07,CE07SHSM-00004 and CE07SHSM-00003,46.97583,-124.56983,2016-09-21T01:53:02.000Z,3,*0000000000000100,89,at3703003,*0000000000000100,8,*0000000000000100,2016-09-21T02:05:52.000Z,1.85,*0000000000000100,1.84,46.97330,-124.57007,15.9909,*0000000000000100,15.9904,*0000000000000100,3.9930,*0000000000000100,3.9931,*0000000000000100,31.4872,31.4879,6.28,*0000000010000100,5.70,2.12,*0000000010000100,0.4957,88.34,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,2.283,0.143,1.854,*0000000000000100,*0000000000000100,0.33,1.41,-0.02,0.02,0.12,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT37-03,CE09,CE09OSPM-00006,46.84517,-124.96600,2016-09-22T12:00:13.000Z,5,*0000000000000100,567,at3703005,*0000000000000100,1,*0000000000000100,2016-09-22T12:20:33.000Z,515.52,*0000000000000100,510.61,46.84541,-124.96519,5.1245,*0000000000000100,5.1240,*0000000000000100,3.3026,*0000000010000100,3.3026,*0000000010000100,34.1075,34.1091,0.61,*0000000010000100,7.09,-0.01,*0000000010000100,0.0890,97.80,*0000000000000100,-9999999,-9999999,-9999999,*0000000000000011,*0000000000000100,0.026,0.017,1.543,*0000000000000100,*0000000000000100,2.75,65.37,33.60,0.04,1.03,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2343.73,*0000000000000101,*0000000000000100,817.31,22.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2397.89,-9999999,-9999999,7.748,42.64,2237.12,63.98,1.339,0.867
